name,address,lat,long
Greenville Alternative at Beechwood,2555 DESOTO DR,30.55459,-91.164516
McKinley Middle Magnet School,1550 EDDIE ROBINSON SR DR,30.434269,-91.174061
Arlington Preparatory Academy,931 DEAN LEE DR,30.384227,-91.171814
Tara High School,9002 WHITEHALL AVE,30.434928,-91.088677
EBR Readiness Superintendent's Academy,1919 STARING LN,30.3922,-91.111084
Scotlandville Middle Pre-Engineering Academy,9147 ELM GROVE GARDEN DR,30.529584,-91.169307
Baton Rouge Community College,201 COMMUNITY COLLEGE DR,30.448562,-91.135941
Woodlawn Middle School,14939 TIGER BEND RD,30.391298,-91.016132
Mentorship Academy,339 FLORIDA ST,30.449331,-91.187366
Highland Elementary School,280 SUNSET BLVD,30.390857,-91.1509
Bernard Terrace Elementary School,241 EDISON ST,30.446909,-91.147159
Villa Del Rey Elementary School,9765 CUYHANGA PKWY,30.464394,-91.07648
Southdowns Preschool Center,2050 HOOD AVE,30.417272,-91.151885
Wedgewood Elementary School,2330 ASPENWOOD DR,30.435721,-91.012969
University Terrace Elementary School,575 W ROOSEVELT ST,30.421701,-91.182639
North Banks Middle School of Excellence,5959 CADILLAC ST,30.518005,-91.13004
Park Elementary School,2700 FUQUA ST,30.457533,-91.160912
Southeast Middle School,15000 S HARRELL'S FERRY RD,30.428701,-91.020743
Twin Oaks Elementary School,819 TRAMMELL DR,30.45139,-91.038477
Wildwood Elementary School,444 HALFWAY TREE RD,30.37118,-91.117232
Baton Rouge Magnet High School,2825 GOVERNMENT ST,30.444054,-91.159443
Northdale Superintendent's Academy,10755 CLETUS DR,30.468618,-91.064182
Capitol Elementary School,4141 GUS YOUNG AVE,30.461964,-91.148848
Baker Heights Elementary School,3750 HARDING ST,30.583879,-91.160011
J.K. Haynes Middle School,2401 72ND AVE,30.514457,-91.167549
Belfair Montessori Magnet Elementary School,4451 FAIRFIELDS AVE,30.467563,-91.145818
Mohican Education Center,4050 TUNICA ST,30.484868,-91.151581
Ryan Elementary School,10337 ELM GROVE GARDEN DR,30.539504,-91.169533
Rollins Place Elementary School,4400 ROLLINS PL,30.662436,-91.160147
Eden Park Superintendent's Academy,1650 N ACADIAN THWY E,30.462765,-91.155328
Northeast Elementary School,13801 PORT HUDSON-PRIDE RD,30.706535,-91.00897
Parkview Elementary School,5660 PARKFOREST DR,30.399904,-91.04423
Park Forest Elementary School,10717 ELAIN DR,30.482477,-91.065621
Louisiana State School for the Deaf,2888 BRIGHTSIDE DR,30.389786,-91.191459
Geo Prep Academy of Baton Rouge,4006 PLATT DR,30.487853,-91.075753
Brownfields Elementary School,11615 ELLEN DR,30.55065,-91.130502
Polk Elementary School,408 E POLK ST,30.427016,-91.177606
LaSalle Elementary School,8000 LASALLE AVE,30.434757,-91.103635
Baton Rouge Community College - Frazier Campus,555 JULIA ST,30.437126,-91.18554
Broadmoor Senior High School,10100 GOODWOOD BLVD,30.443623,-91.075098
Bellingrath Hills Elementary School,6612 AUDUSSON DR,30.515499,-90.993254
Westdale Heights Academic Magnet School,2000 COLLEGE DR,30.43124,-91.135187
White Hills Elementary School,5300 BENTLEY DR,30.593726,-91.138484
Democracy Prep Louisiana Charter School,4055 PRESCOTT RD,30.487427,-91.146232
Park Ridge Elementary School,5905 GROOM RD,30.584287,-91.135804
Claiborne Elementary School,4707 DENHAM ST,30.504619,-91.142845
